index,title,description,location,country,currency,price,durationInDays,imagesURL,siteURL,rating,dateOfScrape
111,4 Day Mantobeni Luxury Safari,"Big animals including elephants, rhinos, lions, and hippopotamuses can regularly be seen in the reserve. Between meals and game drives, visitors can unwind at the pool or go on guided walking safaris into the dense forest to observe the passing wildlife. Two daily game drives are offered in specialised 4×4 safari cars. The rangers would gladly share with you their extensive knowledge of everything that grows and lives in the area. Morning game drives take you deep into the Manyeleti concession and typically begin at half past five in the morning. You will pause the drive for a (much-needed) cup of coffee and some light fare.","South Africa, Kruger National Park",South Africa,ZAR,"24,985",4,"['https://moafrikatours.com/wp-content/uploads/2024/02/man8-768x538.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/2a2c3cb4-5697-4aa0-b248-f9aa31e53147-768x432.jpeg', 'https://moafrikatours.com/wp-content/uploads/2024/07/4cdefed2-d06a-4024-940a-1b81cb6388e1-768x432.jpeg', 'https://moafrikatours.com/wp-content/uploads/2024/07/8f97e731-a35c-4abe-896b-d7b0143052a1-768x432.jpeg', 'https://moafrikatours.com/wp-content/uploads/2024/02/man8.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/2a2c3cb4-5697-4aa0-b248-f9aa31e53147.jpeg', 'https://moafrikatours.com/wp-content/uploads/2024/07/4cdefed2-d06a-4024-940a-1b81cb6388e1.jpeg']",https://moafrikatours.com/south-africa/greater-kruger/safaris/4-day/4-day-mantobeni-luxury-safari/,,20250210_152711
112,3 Day Mantobeni Luxury Safari,"Big animals including elephants, rhinos, lions, and hippopotamuses can regularly be seen in the reserve. Between meals and game drives, visitors can unwind at the pool or go on guided walking safaris into the dense forest to observe the passing wildlife. Two daily game drives are offered in specialised 4×4 safari cars. The rangers would gladly share with you their extensive knowledge of everything that grows and lives in the area. Morning game drives take you deep into the Manyeleti concession and typically begin at half past five in the morning. You will pause the drive for a (much-needed) cup of coffee and some light fare.","South Africa, Kruger National Park",South Africa,ZAR,"17,765",3,"['https://moafrikatours.com/wp-content/uploads/2024/02/man4-768x538.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/02/man1-768x538.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/02/man2-768x538.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/02/man3-768x538.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/02/man4.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/02/man1.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/02/man2.jpg']",https://moafrikatours.com/south-africa/greater-kruger/safaris/3-day/3-day-mantobeni-luxury-safari/,,20250210_152717
113,5 Day Khoka Moya Luxury Safari,"Khoka Moya is the ideal location for an opulent family safari vacation as kids can also enjoy a variety of activities, including junior tracking, full game drives, and more. The opulent tents at the luxury camp feature expansive outside decks that are ideal for unwinding on while taking in the expansive channels that stretch out in front of the camp.","South Africa, Kruger National Park",South Africa,ZAR,"29,000",5,"['https://moafrikatours.com/wp-content/uploads/2024/02/k8-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/35408_honey-guide-camp_-1.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/Honeyguide-Khoka-Moya-Camp-2-1-768x576.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/Honeyguide-Khoka-Moya-Camp-3-1-768x1024.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/02/k8-1024x683.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/35408_honey-guide-camp_-1.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/Honeyguide-Khoka-Moya-Camp-2-1-1024x768.jpg']",https://moafrikatours.com/south-africa/greater-kruger/manyeleti-game-reserve/safaris/5-day/luxury/5-day-khoka-moya-luxury-safari/,,20250210_152722
114,4 Day Khoka Moya Luxury Safari,"Situated on a riverbank in the Greater Kruger region of South Africa, Honeyguide Khoka Moya Camp is a true luxury tented safari camp located in the concession known as the Manyeleti Game Reserve, which borders the renowned Kruger National Park. Khoka Moya is the ideal location for an opulent  family safari vacation as kids can also enjoy a variety of activities, including junior tracking, full game drives, and more. The opulent tents at the luxury camp feature expansive outside decks that are ideal for unwinding on while taking in the expansive channels that stretch out in front of the camp.","South Africa, Kruger National Park",South Africa,ZAR,"22,580",4,"['https://moafrikatours.com/wp-content/uploads/2024/02/k2-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/35408_honey-guide-camp_.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/Honeyguide-Khoka-Moya-Camp-2-768x576.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/Honeyguide-Khoka-Moya-Camp-3-768x1024.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/02/k2-1024x683.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/35408_honey-guide-camp_.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/Honeyguide-Khoka-Moya-Camp-2-1024x768.jpg']",https://moafrikatours.com/south-africa/greater-kruger/manyeleti-game-reserve/safaris/4-day/luxury/4-day-khoka-moya-luxury-safari/,,20250210_152728
115,3 Day Khoka Moya Luxury Safari,"Khoka Moya is the ideal location for an opulent family safari vacation as kids can also enjoy a variety of activities, including junior tracking, full game drives, and more. The opulent tents at the luxury camp feature expansive outside decks that are ideal for unwinding on while taking in the expansive channels that stretch out in front of the camp.","South Africa, Kruger National Park",South Africa,ZAR,"16,160",3,"['https://moafrikatours.com/wp-content/uploads/2024/02/k5-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/02/k1-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/02/k2-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/02/k3-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/02/k5-1024x683.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/02/k1-1024x683.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/02/k2-1024x683.jpg']",https://moafrikatours.com/south-africa/greater-kruger/manyeleti-game-reserve/safaris/3-day/luxury/3-day-khoka-moya-luxury-safari/,,20250210_152733
116,5 Day Karongwe River Lodge Luxury Safari,"You can spend the day relaxing by the pool or on your private patio, watching animals. In the afternoon, you can go on a safari in an open game drive vehicle. The view of the beautiful Makhutsi River is a natural treasure, and your large living room that opens onto a large terrace gives you many chances to see elephants and antelopes grazing. At Karongwe River Lodge, you can enjoy delicious Pan African food in a rustic outdoor Boma or, on other evenings, in the beautiful dining room. Dining is never been more romantic than when you are eating outside under the stars.","South Africa, Kruger National Park",South Africa,ZAR,"35,305",5,"['https://moafrikatours.com/wp-content/uploads/2024/02/karongwe-river-lodge-gallery-karongwe-portfolio-game-drive-drinks-stop-guides-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/DSC5822-1-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/20201216_162247-2022-Copy-2-1-768x576.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/20201216_162649-Copy-1-768x576.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/02/karongwe-river-lodge-gallery-karongwe-portfolio-game-drive-drinks-stop-guides-1024x683.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/DSC5822-1-1024x683.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/20201216_162247-2022-Copy-2-1-1024x768.jpg']",https://moafrikatours.com/south-africa/greater-kruger/karongwe-private-game-reserve/safaris/5-day/luxury/5-day-karongwe-river-lodge-luxury-safari/,,20250210_152739
117,4 Day Karongwe River Lodge Luxury Safari,"Spend the day relaxing by the pool or watching animals from your private patio before embarking on an afternoon safari in an open game drive vehicle. The magnificent Makhutsi River perspective is a natural treasure, and your big parlour room opening onto a large terrace affords numerous possibilities to see elephant and grazing antelope. Dining beneath the stars has never
been more romantic than when enjoying Pan African cuisine in a rustic outdoor Boma or, on alternate evenings, in the beautiful dining room. To accompany your meal, choose from a large selection of top South African and overseas beers and wines, as well as spirits and soft drinks.","South Africa, Kruger National Park",South Africa,ZAR,"27,815",4,"['https://moafrikatours.com/wp-content/uploads/2024/02/karongwe-river-lodge-gallery-karongwe-portfolio-luxury-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/DSC5822-3-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/20201216_162247-2022-Copy-2-3-768x576.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/20201216_162649-Copy-3-768x576.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/02/karongwe-river-lodge-gallery-karongwe-portfolio-luxury-1024x683.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/DSC5822-3-1024x683.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/20201216_162247-2022-Copy-2-3-1024x768.jpg']",https://moafrikatours.com/south-africa/greater-kruger/karongwe-private-game-reserve/safaris/4-day/luxury/4-day-karongwe-river-lodge-luxury-safari/,,20250210_152744
118,3 Day Karongwe River Lodge Luxury Safari,Spend the day lounging by the pool or watching the wildlife from your private terrace before departing on a late afternoon safari in an open game drive vehicle. The stunning vista of the Makhutsi River is a natural gem and your expansive parlour roomopening onto a large terrace provides opportunities to see elephant and antelope.,"South Africa, Kruger National Park",South Africa,ZAR,"18,185",3,"['https://moafrikatours.com/wp-content/uploads/2024/02/karongwe-river-lodge-gallery-karongwe-portfolio-game-drives-elephant-sightings-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/02/karongwe-river-lodge-gallery-karongwe-portfolio-game-drive-drinks-stop-guides-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/02/karongwe-river-lodge-gallery-karongwe-portfolio-game-drives-elephant-sightings-1-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/02/karongwe-river-lodge-gallery-karongwe-portfolio-luxury-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/02/karongwe-river-lodge-gallery-karongwe-portfolio-game-drives-elephant-sightings-1024x683.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/02/karongwe-river-lodge-gallery-karongwe-portfolio-game-drive-drinks-stop-guides-1024x683.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/02/karongwe-river-lodge-gallery-karongwe-portfolio-game-drives-elephant-sightings-1-1024x683.jpg']",https://moafrikatours.com/south-africa/greater-kruger/karongwe-private-game-reserve/safaris/3-day/luxury/3-day-karongwe-river-lodge-luxury-safari/,,20250210_152750
119,5 Day Chisomo Camp Safari,"Situated in the Big Five Karongwe Game Reserve of Limpopo, South Africa, the Chisomo Safari Camp offers visitors an unmatched four-day safari experience. Nestled deep within the reserve, the camp enjoys a stunning view of the Makhutsi River. Early in the morning and late in the afternoon, guests can go on safari in open 4×4 safari vehicles with knowledgeable guides and trackers by their sides. Over the day, visitors can choose to relax in one of the elegantly furnished lounges or beside the swimming pool.","South Africa, Kruger National Park",South Africa,ZAR,"28,955",5,"['https://moafrikatours.com/wp-content/uploads/2024/02/Chisomo-Safari-Camp-Makhutsi-River-Limpopo-South-Africa-Karongwe-Portfolio-gallery-17-768x423.jpeg', 'https://moafrikatours.com/wp-content/uploads/2024/07/Afternoon-tea-at-Chisomo-Safari-Camp--768x1151.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/Amazing-staff-at-Chisomo-safari-Lodge--768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/Beautiful-out-of-Africa-Lounge-area--768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/02/Chisomo-Safari-Camp-Makhutsi-River-Limpopo-South-Africa-Karongwe-Portfolio-gallery-17.jpeg', 'https://moafrikatours.com/wp-content/uploads/2024/07/Afternoon-tea-at-Chisomo-Safari-Camp--683x1024.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/Amazing-staff-at-Chisomo-safari-Lodge--1024x683.jpg']",https://moafrikatours.com/south-africa/greater-kruger/karongwe-private-game-reserve/safaris/5-day/5-day-chisomo-camp-safari/,,20250210_152755
120,4 Day Chisomo Camp Safari,"Located in Limpopo, South Africa’s Big Five Karongwe Game Reserve, the Chisomo Safari Camp provides guests with an unparalleled safari experience over the course of a four-day trip. The camp overlooks the Makhutsi River and is tucked deep within the reserve. Guests have the opportunity to go on safaris in open 4×4 safari vehicles early in the morning and late in the afternoon, escorted by experienced guides and trackers. In the course of the day, guests have the option of unwinding by the pool or in one  of the lounges that has been tastefully decorated.","South Africa, Kruger National Park",South Africa,ZAR,"22,225",4,"['https://moafrikatours.com/wp-content/uploads/2024/02/chisomo-safari-camp-blessings-karongwe-portfolio-african-safari-gallery-bed-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/Afternoon-tea-at-Chisomo-Safari-Camp-1-1-768x1151.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/Amazing-staff-at-Chisomo-safari-Lodge-1-1-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/Beautiful-out-of-Africa-Lounge-area-1-1-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/02/chisomo-safari-camp-blessings-karongwe-portfolio-african-safari-gallery-bed-1024x683.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/Afternoon-tea-at-Chisomo-Safari-Camp-1-1-683x1024.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/Amazing-staff-at-Chisomo-safari-Lodge-1-1-1024x683.jpg']",https://moafrikatours.com/south-africa/greater-kruger/karongwe-private-game-reserve/safaris/4-day/4-day-chisomo-camp-safari/,,20250210_152801
121,3 Day Chisomo Camp Safari,"Chisomo Safari Camp overlooks the Makhutsi River and is nestled deep within the Big Five Karongwe Game Reserve in Limpopo, South Africa, providing an unrivalled safari experience during a 3-day safari. Guests enjoy safaris in open 4×4 safari vehicles in the early morning and late afternoon, led by skilled guides and trackers. During the day, visitors can unwind at the pool or in one of the elegantly appointed lounges.","South Africa, Kruger National Park",South Africa,ZAR,"15,500",3,"['https://moafrikatours.com/wp-content/uploads/2024/02/Chisomo-Safari-Camp-Makhutsi-River-Limpopo-South-Africa-Karongwe-Portfolio-gallery-6.jpeg', 'https://moafrikatours.com/wp-content/uploads/2024/02/chisomo-safari-camp-blessings-karongwe-portfolio-african-safari-gallery-bed-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/02/Chisomo-Safari-Camp-Makhutsi-River-Limpopo-South-Africa-Karongwe-Portfolio-gallery-1.jpeg', 'https://moafrikatours.com/wp-content/uploads/2024/02/Chisomo-Safari-Camp-Makhutsi-River-Limpopo-South-Africa-Karongwe-Portfolio-gallery-3.jpeg', 'https://moafrikatours.com/wp-content/uploads/2024/02/Chisomo-Safari-Camp-Makhutsi-River-Limpopo-South-Africa-Karongwe-Portfolio-gallery-6.jpeg', 'https://moafrikatours.com/wp-content/uploads/2024/02/chisomo-safari-camp-blessings-karongwe-portfolio-african-safari-gallery-bed-1024x683.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/02/Chisomo-Safari-Camp-Makhutsi-River-Limpopo-South-Africa-Karongwe-Portfolio-gallery-1.jpeg']",https://moafrikatours.com/south-africa/greater-kruger/karongwe-private-game-reserve/safaris/3-day/3-day-chisomo-camp-safari/,,20250210_152806
122,Sani Pass Day Tour from Durban,"The tour begins in Durban and continues inland through the midlands of KwaZulu-Natal to the scenic town of Underberg, where the true adventure begins! Once you reach the summit, your senses have been stimulated beyond your wildest expectations. Take a deep breath of the crisp mountain air, take in the panoramic views that are nothing short of breath-taking, and take
pleasure in this one-of-a-kind African adventure in Lesotho, also known as the “Kingdom of the”. Visiting Lesotho via Sani Pass is only half the fun if you do not end your journey with a drink at the Highest Pub in Africa!","South Africa, Durban, Lesotho",South Africa,ZAR,"3,500",1,"['https://moafrikatours.com/wp-content/uploads/2024/01/sani-768x481.png', 'https://moafrikatours.com/wp-content/uploads/2024/07/iStock-683593344-1-768x461.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/lesotho-immersion-768x382.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/Roof-of-Africa-1280-wide-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/01/sani-1024x641.png', 'https://moafrikatours.com/wp-content/uploads/2024/07/iStock-683593344-1-1024x614.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/lesotho-immersion-1024x509.jpg']",https://moafrikatours.com/south-africa/lesotho/tours/1-day/sani-pass-day-tour-from-durban/,,20250210_152812
123,Sani Pass and Lesotho Tour,"It is a chance to explore an entirely new section of Kwa-Zulu Natal, which, during the winter months (May through September), can transform into a snowy winter wonderland. The Sani Pass is an adventurous mountain pass that connects South Africa and Lesotho. It is located in the West of KwaZulu-Natal, on the road between Himeville and Mokhotlong and crosses the Drakensberg Mountains by means of a gravel track with steep gradients and sharp hairpins, requiring a 4×4 vehicle and an experienced driver to navigate. At the top of the pass, you can find the Sani Mountain Lodge, which claims to have the highest pub in Africa.","South Africa, Durban, Lesotho",South Africa,ZAR,975,1,"['https://moafrikatours.com/wp-content/uploads/2024/01/sani-pass-and-lesotho-tours-with-professional-guide-in-underberg-633141.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/01/Sani-Pass-2008-snow-153-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/iStock-683593344-768x461.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/ROOF_OF_AFRICA_TOURS_84a-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/01/sani-pass-and-lesotho-tours-with-professional-guide-in-underberg-633141.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/01/Sani-Pass-2008-snow-153-1024x683.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/iStock-683593344-1024x614.jpg']",https://moafrikatours.com/tours/sani-pass-and-lesotho-tour/,,20250210_152817
124,4 Day Luxury Radisson Kruger Safari,"Come and spend four luxurious days in the wilderness with us for an unforgettable adventure. Visit the famous Kruger National Park, the beautiful Blue Canyon Reserve, and the exclusive Moditlo Private Game Reserve on an incredible journey into the romantic safari world of Africa.","South Africa, Kruger National Park",South Africa,ZAR,"17,325",4,"['https://moafrikatours.com/wp-content/uploads/2023/12/Radisson-Safari-Hotel-Hoedspruit-Pegasus-Bar-and-Restaurant-9-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/01/RSH_Hoedspruit_Pegasus_Bar_01-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/01/RSH_Hoedspruit_234_Superior_Rm_08-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/01/RSH_Hoedspruit_160_Garden_STD_RM_01-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2023/12/Radisson-Safari-Hotel-Hoedspruit-Pegasus-Bar-and-Restaurant-9-1024x683.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/01/RSH_Hoedspruit_Pegasus_Bar_01-1024x683.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/01/RSH_Hoedspruit_234_Superior_Rm_08-1024x683.jpg']",https://moafrikatours.com/south-africa/kruger-national-park/safaris/4-day/luxury/4-day-ultra-luxury-radisson-kruger-safari/,,20250210_152823
125,3 Day Luxury Radisson Kruger Safari,"Join us for an immersive 3 day bush experience like no other. On this incredible journey into Africa’s romantic safari world, see the best that the bush has to offer at the iconic Kruger National Park, as well as the pristine Blue Canyon Reserve and Moditlo Private Game Reserve.","South Africa, Kruger National Park",South Africa,ZAR,"12,645",3,"['https://moafrikatours.com/wp-content/uploads/2023/12/Radisson-Safari-Hotel-Hoedspruit-Exteriors-2-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2023/12/Radisson-Safari-Hotel-Hoedspruit-Pegasus-Bar-and-Restaurant-9-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2023/12/Radisson-Safari-Hotel-Hoedspruit-Garden-Facing-Standard-Room-4-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2023/12/Radisson-Safari-Hotel-Hoedspruit-Garden-Facing-Standard-Room-7-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2023/12/Radisson-Safari-Hotel-Hoedspruit-Exteriors-2-1024x683.jpg', 'https://moafrikatours.com/wp-content/uploads/2023/12/Radisson-Safari-Hotel-Hoedspruit-Pegasus-Bar-and-Restaurant-9-1024x683.jpg', 'https://moafrikatours.com/wp-content/uploads/2023/12/Radisson-Safari-Hotel-Hoedspruit-Garden-Facing-Standard-Room-4-1024x683.jpg']",https://moafrikatours.com/south-africa/kruger-national-park/safaris/3-day/luxury/3-day-ultra-luxury-radisson-kruger-safari/,,20250210_152828
126,4 Day Rhino Post Safari Lodge,"Imagine spending your days exploring the vast wilderness of the Kruger National Park, home to some of the most iconic wildlife on the planet. Imagine relaxing in a luxurious suite, surrounded by natural beauty and comfort. This is what awaits you on your 4-day safari at Rhino Post Safari Lodge, a unique and eco-friendly destination that offers an unforgettable safari experience.","South Africa, Kruger National Park",South Africa,ZAR,"28,885",4,"['https://moafrikatours.com/wp-content/uploads/2024/07/Rhino-Post-Safari-Lodge-46-Photo-Credit-Guy-Upfold-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/Rhino-Post-Safari-Lodge-47-Photo-Credit-Guy-Upfold-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/Rhino-Post-Safari-Lodge-49-Photo-Credit-Guy-Upfold-768x1152.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/Rhino-Post-Safari-Lodge-Fire-Deck-0-scaled-1-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/Rhino-Post-Safari-Lodge-46-Photo-Credit-Guy-Upfold-1024x683.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/Rhino-Post-Safari-Lodge-47-Photo-Credit-Guy-Upfold-1024x683.jpg', 'https://moafrikatours.com/wp-content/uploads/2024/07/Rhino-Post-Safari-Lodge-49-Photo-Credit-Guy-Upfold-683x1024.jpg']",https://moafrikatours.com/tours/4-day-rhino-post-safari-lodge/,,20250210_152834
127,3 Day Rhino Post Safari Lodge,"Imagine spending your days exploring the vast wilderness of the Kruger National Park, home to some of the most iconic wildlife on the planet. Imagine relaxing in a luxurious suite, surrounded by natural beauty and comfort. This is what awaits you on your 3-day safari at Rhino Post Safari Lodge, a unique and eco-friendly destination that offers an unforgettable safari experience.","South Africa, Kruger National Park",South Africa,ZAR,"21,346",3,"['https://moafrikatours.com/wp-content/uploads/2023/12/Rhino-Post-Safari-Lodge-Walkways-4-768x576.jpg', 'https://moafrikatours.com/wp-content/uploads/2023/12/Rhino-Post-Safari-Lodge-Pool-3-768x513.jpg', 'https://moafrikatours.com/wp-content/uploads/2023/12/Rhino-Post-Safari-Lodge-Main-Deck-Balcony-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2023/12/Rhino-Post-Safari-Lodge-Lodge-Entrance-1-768x576.jpg', 'https://moafrikatours.com/wp-content/uploads/2023/12/Rhino-Post-Safari-Lodge-Walkways-4-1024x768.jpg', 'https://moafrikatours.com/wp-content/uploads/2023/12/Rhino-Post-Safari-Lodge-Pool-3-1024x683.jpg', 'https://moafrikatours.com/wp-content/uploads/2023/12/Rhino-Post-Safari-Lodge-Main-Deck-Balcony-1024x683.jpg']",https://moafrikatours.com/tours/3-day-rhino-post-safari-lodge/,,20250210_152839
128,4 Day Kruger Glamping Budget Adventure,"On this 4-day glamping budget adventure in the Kruger National Park, you’ll get to experience the best of what Africa has to offer at an unbelievable rate.","South Africa, Kruger National Park",South Africa,ZAR,"10,775",4,"['https://moafrikatours.com/wp-content/uploads/2024/06/WhatsApp-Image-2023-11-26-at-9.25.39-AM-2-768x512.jpeg', 'https://moafrikatours.com/wp-content/uploads/2023/12/WhatsApp-Image-2023-11-26-at-9.25.40-AM.jpeg', 'https://moafrikatours.com/wp-content/uploads/2024/06/WhatsApp-Image-2023-11-26-at-9.25.39-AM-1-1-768x512.jpeg', 'https://moafrikatours.com/wp-content/uploads/2024/06/WhatsApp-Image-2023-11-20-at-8.54.37-PM-1-768x384.jpeg', 'https://moafrikatours.com/wp-content/uploads/2024/06/WhatsApp-Image-2023-11-26-at-9.25.39-AM-2-1024x683.jpeg', 'https://moafrikatours.com/wp-content/uploads/2023/12/WhatsApp-Image-2023-11-26-at-9.25.40-AM.jpeg', 'https://moafrikatours.com/wp-content/uploads/2024/06/WhatsApp-Image-2023-11-26-at-9.25.39-AM-1-1-1024x682.jpeg']",https://moafrikatours.com/south-africa/kruger-national-park/safaris/4-day/budget/4-day-kruger-glamping-budget-adventure/,,20250210_152845
129,3 Day Kruger Glamping Budget Adventure,"On this 3-day glamping budget adventure in the Kruger National Park, you’ll get to experience the best of what Africa has to offer, all without breaking the bank.","South Africa, Kruger National Park",South Africa,ZAR,"8,135",3,"['https://moafrikatours.com/wp-content/uploads/2023/12/WhatsApp-Image-2023-11-26-at-9.25.38-AM.jpeg', 'https://moafrikatours.com/wp-content/uploads/2024/07/WhatsApp-Image-2023-11-20-at-8.54.37-PM-768x384.jpeg', 'https://moafrikatours.com/wp-content/uploads/2024/07/WhatsApp-Image-2023-11-26-at-6.23.45-PM-1-768x512.jpeg', 'https://moafrikatours.com/wp-content/uploads/2024/07/WhatsApp-Image-2023-11-26-at-9.25.37-AM-1-768x512.jpeg', 'https://moafrikatours.com/wp-content/uploads/2023/12/WhatsApp-Image-2023-11-26-at-9.25.38-AM.jpeg', 'https://moafrikatours.com/wp-content/uploads/2024/07/WhatsApp-Image-2023-11-20-at-8.54.37-PM.jpeg', 'https://moafrikatours.com/wp-content/uploads/2024/07/WhatsApp-Image-2023-11-26-at-6.23.45-PM-1.jpeg']",https://moafrikatours.com/south-africa/kruger-national-park/safaris/3-day/budget/3-day-kruger-glamping-budget-adventure/,,20250210_152850
130,5 Day Kruger Glamping Budget Adventure,"MoAfrika Tours has designed the most affordable Kruger Park package in the country, which has become extremely popular because a high standard of  accommodation is provided at an exceptionally affordable rate. The Sekekama Tented Camp delivers a budget glamping experience alongside the best that Kruger has to offer, with game drives conducted by our expert guides in open game viewing vehicles in the Kruger National Park and the private Blue Canyon Reserve.","South Africa, Kruger National Park",South Africa,ZAR,"13,695",5,"['https://moafrikatours.com/wp-content/uploads/2023/12/WhatsApp-Image-2023-11-26-at-9.25.37-AM-1-768x512.jpeg', 'https://moafrikatours.com/wp-content/uploads/2023/12/WhatsApp-Image-2023-11-20-at-8.54.37-PM-768x384.jpeg', 'https://moafrikatours.com/wp-content/uploads/2023/12/WhatsApp-Image-2023-11-26-at-9.25.39-AM-768x512.jpeg', 'https://moafrikatours.com/wp-content/uploads/2023/12/WhatsApp-Image-2023-11-26-at-9.25.37-AM.jpeg', 'https://moafrikatours.com/wp-content/uploads/2023/12/WhatsApp-Image-2023-11-26-at-9.25.37-AM-1.jpeg', 'https://moafrikatours.com/wp-content/uploads/2023/12/WhatsApp-Image-2023-11-20-at-8.54.37-PM.jpeg', 'https://moafrikatours.com/wp-content/uploads/2023/12/WhatsApp-Image-2023-11-26-at-9.25.39-AM.jpeg']",https://moafrikatours.com/south-africa/kruger-national-park/safaris/5-day/budget/5-day-kruger-glamping-budget-adventure/,,20250210_152856
